"Step","volcanic-bush-67 - Test Accuracy","volcanic-bush-67 - Test Accuracy__MIN","volcanic-bush-67 - Test Accuracy__MAX","volcanic-bush-67 - Train Accuracy","volcanic-bush-67 - Train Accuracy__MIN","volcanic-bush-67 - Train Accuracy__MAX"
"252","","","","","",""
"253","","","","","",""
"254","","","","","",""
"255","","","","","",""
"256","","","","64.18604651162791","64.18604651162791","64.18604651162791"
"257","40.13157894736842","40.13157894736842","40.13157894736842","","",""
"258","","","","","",""
"259","","","","","",""
"260","","","","","",""
"261","","","","","",""
"262","","","","","",""
"263","","","","65.34883720930232","65.34883720930232","65.34883720930232"
"264","50","50","50","","",""
"265","","","","","",""
"266","","","","","",""
"267","","","","","",""
"268","","","","","",""
"269","","","","","",""
"270","","","","67.2093023255814","67.2093023255814","67.2093023255814"
"271","49.3421052631579","49.3421052631579","49.3421052631579","","",""
"272","","","","","",""
"273","","","","","",""
"274","","","","","",""
"275","","","","","",""
"276","","","","","",""
"277","","","","67.2093023255814","67.2093023255814","67.2093023255814"
"278","47.36842105263158","47.36842105263158","47.36842105263158","","",""
"279","","","","","",""
"280","","","","","",""
"281","","","","","",""
"282","","","","","",""
"283","","","","","",""
"284","","","","60.93023255813953","60.93023255813953","60.93023255813953"
"285","60.526315789473685","60.526315789473685","60.526315789473685","","",""
"286","","","","","",""
"287","","","","","",""
"288","","","","","",""
"289","","","","","",""
"290","","","","","",""
"291","","","","64.65116279069767","64.65116279069767","64.65116279069767"
"292","63.1578947368421","63.1578947368421","63.1578947368421","","",""
"293","","","","","",""
"294","","","","","",""
"295","","","","","",""
"296","","","","","",""
"297","","","","","",""
"298","","","","67.2093023255814","67.2093023255814","67.2093023255814"
"299","43.421052631578945","43.421052631578945","43.421052631578945","","",""
"300","","","","","",""
"301","","","","","",""
"302","","","","","",""
"303","","","","","",""
"304","","","","","",""
"305","","","","63.72093023255814","63.72093023255814","63.72093023255814"
"306","50","50","50","","",""
"307","","","","","",""
"308","","","","","",""
"309","","","","","",""
"310","","","","","",""
"311","","","","","",""
"312","","","","63.72093023255814","63.72093023255814","63.72093023255814"
"313","49.3421052631579","49.3421052631579","49.3421052631579","","",""
"314","","","","","",""
"315","","","","","",""
"316","","","","","",""
"317","","","","","",""
"318","","","","","",""
"319","","","","69.06976744186046","69.06976744186046","69.06976744186046"
"320","34.86842105263158","34.86842105263158","34.86842105263158","","",""
"321","","","","","",""
"322","","","","","",""
"323","","","","","",""
"324","","","","","",""
"325","","","","","",""
"326","","","","67.44186046511628","67.44186046511628","67.44186046511628"
